,id,original_title,popularity,vote_count,genre_ids
127,490,Det sjunde inseglet,24.353,2754,"[14, 18]"
128,654299,Como caído del cielo,15.307,322,"[35, 18, 10402]"
129,610892,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,24.094,329,"[18, 14, 16]"
130,133919,Scener ur ett äktenskap,11.99,313,"[18, 10749]"
131,10098,The Kid,19.94,1913,"[35, 18]"
132,324786,Hacksaw Ridge,129.139,12901,"[18, 36, 10752]"
133,629,The Usual Suspects,36.621,9774,"[18, 80, 53]"
134,77,Memento,36.445,13962,"[9648, 53]"
135,575813,少年的你,20.793,369,[18]
136,791373,Zack Snyder's Justice League,114.972,9426,"[28, 12, 14]"
137,592350,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,40.507,1095,"[16, 28, 14, 12]"
138,313106,Doctor Who: The Day of the Doctor,14.075,714,"[878, 12]"
139,18148,東京物語,18.758,949,[18]
140,1398,Сталкер,21.883,1923,"[878, 18]"
141,68718,Django Unchained,67.958,25019,"[18, 37]"
142,426,Vertigo,34.793,5347,"[9648, 10749, 53]"
143,606856,Togo,36.336,1862,"[12, 10751]"
144,111,Scarface,72.156,10998,"[28, 80, 18]"
145,517814,کفرناحوم,18.344,1555,[18]
146,289,Casablanca,40.501,5035,"[18, 10749]"
147,475557,Joker,78.429,23831,"[80, 53, 18]"
148,1422,The Departed,48.287,14023,"[18, 53, 80]"
149,872,Singin' in the Rain,32.085,2906,"[35, 10749]"
150,422,8½,21.118,2110,[18]
151,620683,Minha Mãe é uma Peça 3: O Filme,6.303,455,[35]
152,531428,Portrait de la jeune fille en feu,30.444,2266,"[18, 10749]"
153,399106,Piper,16.274,1546,"[10751, 16]"
154,398818,Call Me by Your Name,71.296,11482,"[10749, 18]"
155,92060,Michael Jackson's Thriller,14.281,620,"[27, 10402]"
156,81481,도가니,28.695,542,[18]
157,555604,Guillermo del Toro's Pinocchio,75.877,2586,"[16, 14, 18, 10751]"
158,458220,Palmer,43.059,1366,[18]
159,55823,La grande guerra,10.21,320,"[18, 35, 10752]"
160,103,Taxi Driver,58.892,11367,"[80, 18]"
161,1000492,Je verrai toujours vos visages,17.652,338,[18]
162,762975,Purple Hearts,51.75,2209,"[10749, 18]"
163,348,Alien,79.432,13477,"[27, 878]"
164,518068,신과함께-인과 연,33.294,546,"[28, 12, 18, 14, 53, 9648]"
165,470044,The Hate U Give,21.409,2018,"[80, 18]"
166,406997,Wonder,40.18,7497,"[18, 10751]"
167,489,Good Will Hunting,87.427,11371,[18]
168,19,Metropolis,21.403,2485,"[18, 878]"
169,755812,"Miraculous World : New York, les héros unis",46.774,1035,"[16, 10770, 14, 28]"
170,600354,The Father,25.49,2869,[18]
171,666,Central do Brasil,12.236,806,[18]
172,20532,山椒大夫,11.372,339,[18]
173,508442,Soul,85.987,9697,"[16, 10751, 35, 14, 18]"
174,20914,Amici miei,7.135,656,[35]
175,532067,映画 この素晴らしい世界に祝福を！紅伝説,35.821,494,"[16, 12, 35, 14]"
176,600,Full Metal Jacket,44.547,9846,"[18, 10752]"
177,37165,The Truman Show,61.451,17154,"[35, 18]"
178,439,La dolce vita,18.457,1709,"[35, 18]"
179,500,Reservoir Dogs,40.655,13496,"[80, 53]"
180,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,35.266,5205,"[35, 10752]"
181,664767,Mortal Kombat Legends: Scorpion's Revenge,84.831,1316,"[16, 28, 14]"
182,614,Smultronstället,20.409,1503,[18]
183,2457,Les Enfants du Paradis,10.845,368,"[18, 10749]"
184,20941,Voces inocentes,16.383,415,"[18, 10752]"
185,100,"Lock, Stock and Two Smoking Barrels",14.993,6171,"[35, 80]"
186,411088,Contratiempo,33.901,4269,"[18, 9648, 53]"
187,996,Double Indemnity,15.716,1655,"[80, 53]"
188,548,羅生門,17.506,1999,"[80, 18, 9648]"
189,872585,Oppenheimer,696.577,5678,"[18, 36]"
190,823754,Bo Burnham: Inside,18.416,416,"[35, 18]"
191,705,All About Eve,19.293,1416,[18]
192,640344,Me contro Te: Il film - La vendetta del Signor S,9.423,461,"[10751, 14]"
193,11878,用心棒,25.676,1302,"[18, 53]"
194,9702,Bound by Honor,38.378,1178,"[80, 28, 18, 53]"
195,38288,I corti,6.146,339,[35]
196,239,Some Like It Hot,33.495,3210,"[35, 10749, 80]"
197,280,Terminator 2: Judgment Day,74.846,11977,"[28, 53, 878]"
198,103663,Jagten,27.986,3834,[18]
199,397567,신과함께-죄와 벌,40.474,909,"[28, 12, 18, 14, 53, 9648]"
200,472454,Ayla,13.275,336,"[18, 10752, 36]"
201,24382,I soliti ignoti,10.677,649,"[35, 80]"
202,12445,Harry Potter and the Deathly Hallows: Part 2,128.913,19484,"[14, 12]"
203,149871,かぐや姫の物語,29.969,1610,"[16, 18, 14]"
204,843,花樣年華,30.464,2415,"[18, 10749]"
205,38,Eternal Sunshine of the Spotless Mind,60.098,13947,"[878, 18, 10749]"
206,46738,Incendies,27.059,2396,"[18, 10752, 9648]"
207,655,"Paris, Texas",26.824,1610,[18]
208,550776,Believe Me: The Abduction of Lisa McVey,26.812,563,"[18, 10770]"
209,146233,Prisoners,57.057,10934,"[18, 53, 80]"
210,992,Sherlock Jr.,14.061,878,"[28, 35, 9648]"
211,832,M - Eine Stadt sucht einen Mörder,22.606,1959,"[18, 53, 80]"
212,406,La Haine,21.598,3699,[18]
213,930094,"Red, White & Royal Blue",63.128,942,"[35, 10749]"
214,4348,Pride & Prejudice,57.918,7519,"[18, 10749]"
215,663558,新神榜：哪吒重生,26.948,386,"[16, 28, 14]"
216,7345,There Will Be Blood,41.787,6114,[18]
217,334543,Lion,25.168,6270,[18]
218,3780,赤ひげ,13.854,312,[18]
219,10681,WALL·E,86.666,17699,"[16, 10751, 878]"
220,387,Das Boot,38.835,2030,"[18, 36, 10752]"
221,359940,"Three Billboards Outside Ebbing, Missouri",29.777,9553,"[80, 18]"
222,62,2001: A Space Odyssey,58.725,10776,"[878, 9648, 12]"
223,678512,Sound of Freedom,334.88,1657,"[28, 18]"
224,638507,How to Train Your Dragon: Homecoming,62.386,870,"[16, 14, 12, 28, 10751]"
225,11645,乱,22.866,1397,"[28, 18, 36]"
226,895,Андрей Рублёв,20.713,726,"[18, 36]"
227,437068,택시운전사,24.865,865,"[28, 18, 36]"
228,8392,となりのトトロ,72.774,7306,"[14, 16, 10751]"
229,21634,Prayers for Bobby,17.066,541,"[18, 36, 10770]"
230,11423,살인의 추억,43.356,3428,"[80, 18, 53]"
